n,average,min,max,stdev
4.2,708,638,722,31.305
5.2,1083,910,1118,77.517
6.2,2345,1288,2557,472.928
7.2,1605,1080,1711,235.16
8.2,1346,1327,1444,43.6033
9.2,1161,1007,1932,344.727
10.2,1604,1512,2064,205.718
11.2,2697,2520,2733,79.3804
12.2,1990,1785,3016,458.767
13.2,2316,2186,2970,292.18
14.2,3094,3094,3094,0
15.2,2619,2585,3306,153.543
