n,average,min,max,stdev
4.2,0.476,0.354,0.5,0.055
5.2,1,1,1,0
6.2,0.611,0.611,0.611,0
7.2,0.75,0.75,0.75,0
8.2,0.5,0.5,0.5,0
9.2,0.875,0.875,0.875,0
10.2,0.75,0.75,0.75,0
11.2,0.75,0.75,0.75,0
12.2,0.667,0.667,0.667,0
13.2,0.847,0.833,0.917,0.031
14.2,0.833,0.833,0.833,0
15.2,0.75,0.75,0.75,0
