n,average,min,max,stdev
4.4,0.354,0.354,0.354,0
5.4,0.783,0.783,0.783,0
6.4,0.546,0.546,0.546,0
7.4,0.539,0.539,0.539,0
8.4,0.5,0.5,0.5,0
9.4,0.75,0.75,0.75,0
10.4,0.75,0.75,0.75,0
11.4,0.667,0.667,0.667,0
12.4,0.944,0.667,1,0.124
13.4,0.861,0.833,1,0.062
14.4,0.833,0.833,0.833,0
15.4,0.75,0.75,0.75,0
