n,average,min,max,stdev
4,1,1,1,0
5,1,1,1,0
6,1,1,1,0
7,1,1,1,0
8,0.792,0.75,1,0.093
9,1,1,1,0
10,1,1,1,0
11,0.792,0.75,1,0.093
12,1,1,1,0
13,1,1,1,0
14,1,1,1,0
15,1,1,1,0
