n,average,min,max,stdev
4.4,385,360,390,11.1803
5.4,488,306,525,81.6165
6.4,675,610,689,29.4416
7.4,525,374,556,67.8274
8.4,677,420,729,115.158
9.4,779,702,795,34.6591
10.4,692,490,733,90.5608
11.4,611,450,644,72.2995
12.4,657,512,687,65.2186
13.4,907,748,939,71.1815
14.4,666,666,666,0
15.4,608,608,608,0
