n,average,min,max,stdev
4.6,47,43,69,9.68963
5.6,70,66,71,1.86339
6.6,44,43,51,2.98142
7.6,72,42,79,13.7891
8.6,44,44,48,1.49071
9.6,71,45,77,11.9257
10.6,43,43,45,0.745356
11.6,78,45,85,14.9071
12.6,42,42,43,0.372678
13.6,39,39,39,0
14.6,30,30,30,0
15.6,30,30,30,0
