n,average,min,max,stdev
4,783,325,875,204.973
5,1081,1015,1411,147.58
6,1271,1110,2079,361.125
7,1613,1541,1975,161.742
8,2351,2149,3364,452.804
9,2344,2101,3564,545.228
10,3502,2623,7955,1966.57
11,2737,2506,3895,517.65
12,4038,3676,5850,810.202
13,3610,3254,5390,796.04
14,7155,7155,7155,0
15,5387,5365,5871,104.277
