n,average,min,max,stdev
4.6,0.386,0.371,0.462,0.034
5.6,0.663,0.644,0.758,0.042
6.6,0.577,0.558,0.672,0.043
7.6,0.471,0.453,0.564,0.041
8.6,0.412,0.399,0.474,0.028
9.6,0.585,0.565,0.682,0.044
10.6,0.53,0.514,0.609,0.035
11.6,0.47,0.454,0.546,0.034
12.6,0.433,0.42,0.496,0.028
13.6,0.635,0.635,0.635,0
14.6,0.586,0.586,0.586,0
15.6,0.544,0.544,0.544,0
