n,average,min,max,stdev
4.6,0.217,0.217,0.217,0
5.6,0.412,0.134,0.468,0.124
6.6,0.32,0.032,0.377,0.129
7.6,0.293,0.169,0.317,0.055
8.6,0.235,0.071,0.268,0.073
9.6,0.364,0.208,0.396,0.07
10.6,0.307,0.111,0.347,0.088
11.6,0.305,0.247,0.316,0.026
12.6,0.262,0.151,0.284,0.05
13.6,0.287,0.287,0.287,0
14.6,0.191,0.191,0.191,0
15.6,0.327,0.327,0.327,0
