n,average,min,max,stdev
1.4,0.283,0.194,0.326,0.046
2.4,0.507,0.412,0.602,0.059
3.4,0.688,0.605,0.774,0.057
4.4,0.795,0.713,0.859,0.046
5.4,0.855,0.779,0.904,0.036
