n,average,min,max,stdev
4.6,296,135,329,72.2995
5.6,225,105,249,53.6656
6.6,330,125,371,91.6788
7.6,258,120,286,61.8645
8.6,333,100,380,104.35
9.6,225,100,250,55.9017
10.6,338,115,383,99.8777
11.6,225,110,248,51.4296
12.6,333,105,379,102.114
13.6,90,90,90,0
14.6,105,105,105,0
15.6,90,90,90,0
