n,average,min,max,stdev
1.4,0.302,0.132,0.387,0.046
2.4,0.501,0.365,0.642,0.061
3.4,0.695,0.517,0.83,0.063
4.4,0.817,0.728,0.932,0.053
5.4,0.883,0.788,0.97,0.047
