n,average,min,max,stdev
4.2,1424,1424,1428,1.49071
5.2,1652,1498,2425,345.473
6.2,3253,2133,3478,501.252
7.2,3213,2765,3303,200.501
8.2,3657,3531,4292,283.608
9.2,4955,4455,5055,223.607
10.2,6766,6063,6907,314.54
11.2,11533,6545,12531,2230.85
12.2,7476,6977,9975,1117.29
13.2,9629,9592,9815,83.1072
14.2,8978,8978,8978,0
15.2,9855,9767,11625,395.678
