n,average,min,max,stdev
1.2,0.565,0.356,0.821,0.123
2.2,0.905,0.779,1,0.058
3.2,0.989,0.941,1,0.014
4.2,0.999,0.991,1,0.002
5.2,0.999,0.998,1,0.001
