n,average,min,max,stdev
4.2,1,1,1,0
5.2,1,1,1,0
6.2,1,1,1,0
7.2,1,1,1,0
8.2,1,1,1,0
9.2,1,1,1,0
10.2,1,1,1,0
11.2,1,1,1,0
12.2,1,1,1,0
13.2,0.93,0.916,1,0.031
14.2,1,1,1,0
15.2,1,1,1,0
