n,average,min,max,stdev
1.2,0.515,0.348,0.713,0.128
2.2,0.906,0.841,0.992,0.041
3.2,0.994,0.966,1,0.009
4.2,0.999,0.992,1,0.002
5.2,0.999,0.993,1,0.002
