n,average,min,max,stdev
4,1682,1625,1694,25.7148
5,3157,2779,5049,845.979
6,4533,4514,4633,44.3487
7,5954,4410,6263,690.572
8,5603,4843,9405,1700.16
9,5974,5544,8125,961.882
10,11044,9925,16936,2506.86
11,7969,7587,9882,855.296
12,11452,10575,15842,1962.9
13,11510,9991,19109,3398.08
14,26985,26985,26985,0
15,22290,22234,23504,261.722
