n,average,min,max,stdev
4.4,1085,810,1140,122.984
5.4,1397,952,1486,199.01
6.4,1539,988,1650,246.713
7.4,1541,861,1677,304.105
8.4,1869,1012,2041,383.486
9.4,2659,1325,2926,596.657
10.4,2426,1269,2658,517.65
11.4,2609,1218,2888,622.372
12.4,3539,1581,3931,875.793
13.4,3085,1947,3313,509.078
14.4,1540,1540,1540,0
15.4,2257,2257,2257,0
